Order,Frequency,Gaze LOS,Gaze SPOI,Gaze Collab,Manip HL,Manip SPOI,Manip Collab,Pos AV,Pos SPOI,Pos Collab,HARUS V0,HARUS V1
V0V1,Mai,5,5,4.333333333,4,4,4.333333333,5,4,5,85.41666667,85.41666667
V0V1,Quasi mai,4,5,4.666666667,3,5,4.666666667,2,5,4.333333333,69.44444444,70.13888889
V1V0,Mai,5,5,4.666666667,4,5,4.666666667,3,4,4.666666667,84.02777778,89.58333333
V1V0,Quasi mai,5,5,5,5,5,5,5,5,5,86.80555556,88.19444444
V0V1,Mai,5,2,5,4,4,4.666666667,5,5,5,86.80555556,86.11111111
V0V1,Mai,5,4,5,4,5,5,3,5,5,90.97222222,93.75
V1V0,Molto spesso,5,5,5,2,4,4,1,4,3,84.02777778,89.58333333
V1V0,Quasi mai,5,5,5,3,4,5,4,4,5,90.97222222,92.36111111
V0V1,Qualche volta,5,5,4.666666667,5,5,4.666666667,3,5,5,91.66666667,93.75
V0V1,Quasi mai,5,4,5,5,5,5,5,5,5,96.52777778,97.22222222
V1V0,Mai,5,4,4.333333333,4,4,4.666666667,4,4,4,83.33333333,84.02777778
V1V0,Mai,4,2,3.666666667,5,1,5,1,1,2,95.83333333,95.13888889
V0V1,Qualche volta,5,3,4.666666667,4,3,5,3,4,5,70.13888889,70.13888889
V0V1,Mai,5,5,5,5,5,5,4,5,5,100,100
V0V1,Mai,5,5,5,5,5,5,5,5,5,100,100
V0V1,Mai,5,5,5,2,5,5,3,5,5,100,100
V1V0,Qualche volta,5,5,5,5,5,5,5,5,5,95.13888889,95.13888889
V1V0,Qualche volta,5,5,4.333333333,4,4,5,5,5,5,83.33333333,83.33333333
V1V0,Quasi mai,5,5,5,1,4,5,5,5,5,93.05555556,93.75
V1V0,Quasi mai,5,5,5,5,4,5,4,5,4.666666667,85.41666667,83.33333333
V0V1,Qualche volta,4,3,3.666666667,3,5,4,4,4,4,92.36111111,92.36111111
V0V1,Quasi mai,5,5,5,4,3,4.666666667,4,5,4.333333333,85.41666667,83.33333333
V1V0,Quasi mai,5,5,3,5,2,4.333333333,4,3,4,70.83333333,69.44444444
V1V0,Quasi mai,5,5,5,4,4,5,1,5,5,100,100
V0V1,Quasi mai,5,3,5,3,5,5,1,4,5,94.44444444,95.13888889
V0V1,Qualche volta,4,5,5,1,5,5,3,5,4,88.88888889,95.83333333
V1V0,Quasi mai,5,3,4.333333333,2,3,4,1,3,3.666666667,80.55555556,79.16666667
V1V0,Quasi mai,5,4,5,4,5,5,4,4,5,80.55555556,81.25
V0V1,Qualche volta,5,4,5,5,3,4.666666667,2,4,4.666666667,83.33333333,82.63888889
V0V1,Quasi mai,5,3,4.666666667,4,5,5,2,5,5,95.13888889,95.13888889
V1V0,Mai,4,5,4.666666667,4,5,5,3,5,5,91.66666667,91.66666667
V1V0,Mai,4,3,4.333333333,4,4,4,4,4,4,75,75
V0V1,Quasi mai,5,3,5,2,4,5,2,5,5,93.75,93.75
V0V1,Mai,5,4,4.666666667,5,5,4.666666667,4,5,5,89.58333333,89.58333333
V1V0,Quasi mai,5,3,5,3,4,4.666666667,1,4,4.333333333,91.66666667,97.91666667
V1V0,Mai,5,4,4.666666667,4,4,4.333333333,4,5,4.333333333,65.97222222,60.41666667
V0V1,Quasi mai,5,4,4.333333333,4,5,4.666666667,4,5,5,95.83333333,95.83333333
V0V1,Quasi mai,5,4,4.333333333,2,4,4,2,4,3.666666667,86.11111111,85.41666667
V1V0,Qualche volta,5,5,4.333333333,3,5,4.333333333,4,4,3.666666667,70.83333333,70.83333333
V1V0,Mai,5,5,5,5,5,4.666666667,4,5,5,96.52777778,100
